A11+1 B10+2 C11+3 | X32-2 ch=64 1
A10+1 B12+2 C10+3 | X32-2 ch=64 2
A12+1 B8+2 C12+3 | X32-2 ch=64 3
A13+1 B6+2 C13+3 | X32-2 ch=64 4
A9+1 B14+2 C9+3 | X32-2 ch=64 5
A14+1 B4+2 C14+3 | X32-2 ch=64 6
A15+1 B2+2 C15+3 | X32-2 ch=64 7
A8+1 B16+2 C8+3 | X32-2 ch=64 8
A7+1 B18+2 C7+3 | X32-2 ch=64 9
A6+1 B20+2 C6+3 | X32-2 ch=64 10
A5+1 B22+2 C5+3 | X32-2 ch=64 11
A4+1 B24+2 C4+3 | X32-2 ch=64 12
A3+1 B26+2 C3+3 | X32-2 ch=64 13
A2+1 B28+2 C2+3 | X32-2 ch=64 14
A1+1 B30+2 C1+3 | X32-2 ch=64 15
